Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	AliciSatici	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Banka_kodu	Basitlestirilmis_usul	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	BeyannameKalemNo	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	DigerOdemeler	Dogrulama	DolayliIntikal	DolayliOdeme	Edim	Emsal	Esyanin_bulundugu_yer	FaturaTarihiSayisi	GUMRUK	Gidecegi_sevk_ulkesi	GirisSonrasiNakliye	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	IthalaKatilanMalzeme	IthalaUretimAraclar	IthalaUretimTuketimMalzemesi	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	KapAmbalajBedeli	Kimlik_turu	Kisitlamalar	KiymetKalemNo	Kod	Komisyon	Konteyner	Kullanici_kodu	Kullanilmis_esya	Marka	Miktar_birimi	Muafiyetler_1	Muafiyetler_2	Munasebet	Musavir_referansi	Musavir_vergi_no	Nakliye	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	PlanTaslak	Referans	Referans_no	Royalti	RoyaltiLisans	SaticiyaIntikal	SehirYer	Sigorta	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Taahutname	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	TeknikYardim	Telafi_edici_vergi	Tellaliye	TeslimSekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Ulke_kodu	Uluslararasi_anlasma	VergiHarcFon	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Diger_Aciklama	YurtDisi_Diger_Dovizi	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	700711100029	OTOMOBİL CAMI	068	1669	903	210	4000	39	1594.57	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	31/01/2025	V	1005	25243082611005066560718/1	25/01/2025	V	0300	0000259416	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	129954.35	40	26275.31	P	20	131376.57	89	1128.9	P	0	0	296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	3627.23	210	0	0	0	0	11	10	1	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	1594.57	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	70615.62	GÖZETİM	TRY	0	0	0	293.32	0	0	0	293.32	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	700721200039	OTOMOBİL CAMI	068	12007.4	9918.09	630	4000	39	32148.87	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	25/01/2025	V	0300	0000259416					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	1610030.9	40	323188.94	P	20	1615944.72						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	44938.54	630	0	0	0	0	11	10	2	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	32148.87	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	413675	GÖZETİM	TRY	0	0	0	5913.82	0	0	0	5913.82	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	700721200039	OTOMOBİL CAMI	068	606.54	501	30	4000	39	1628.94	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	25/01/2025	V	0300	0000259416					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	81330.59	40	16326.05	P	20	81630.24						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	2270.07	30	0	0	0	0	11	10	3	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	1628.94	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	20712.85	GÖZETİM	TRY	0	0	0	299.65	0	0	0	299.65	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	700721200039	OTOMOBİL CAMI	068	1031.48	852	60	4000	39	2994.88	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	25/01/2025	V	0300	0000259416					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	138387.54	40	27787.69	P	20	138938.45						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	3862.62	60	0	0	0	0	11	10	4	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	2994.88	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	26939.07	GÖZETİM	TRY	0	0	0	550.91	0	0	0	550.91	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	700721200039	OTOMOBİL CAMI	068	962.62	749.12	40	4000	39	2289.56	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	25/01/2025	V	0300	0000259416					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	121559.18	40	24396.07	P	20	121980.35						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	3392.91	40	0	0	0	0	11	10	5	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	2289.56	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	36357.78	GÖZETİM	TRY	0	0	0	421.17	0	0	0	421.17	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	700721200039	OTOMOBİL CAMI	068	393.7	325.2	30	4000	39	1142.27	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	25/01/2025	V	0300	0000259416					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	52820.72	40	10606.17	P	20	53030.84						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	1474.31	30	0	0	0	0	11	10	6	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	1142.27	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	10313.43	GÖZETİM	TRY	0	0	0	210.12	0	0	0	210.12	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	700711100029	OTOMOBİL CAMI	068	1152.55	825	250	4000	39	1581.26	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	31/01/2025	V	1005	25243082611005066560741/1	25/01/2025	V	0300	0000259416	HAYIR	7780	EVET	4378	EVET	5116	HAYIR	5178	HAYIR	4293	10	0	P	0	118772.13	40	23812.6	P	20	119063						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	3315.12	250	0	0	0	0	11	10	7	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	1581.26	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	59928.7	GÖZETİM	TRY	0	0	0	290.87	0	0	0	290.87	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	700711100029	OTOMOBİL CAMI	068	227	120.5	50	4000	39	284.85	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	31/01/2025	V	1005	25243082611005066560742/1	25/01/2025	V	0300	0000259416	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	17366.19	40	3483.72	P	20	17418.59						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	484.72	50	0	0	0	0	11	10	8	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	284.85	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	6766.07	GÖZETİM	TRY	0	0	0	52.4	0	0	0	52.4	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	700721200039	OTOMOBİL CAMI	068	989.71	817.5	75	4000	39	2838.54	EUR	24/01/2025	V	0100	8100005750	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	25/01/2025	V	0300	0000259416					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	132771.8	40	26658.79	P	20	133293.95						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	3705.87	75	0	0	0	0	11	10	9	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	2838.54	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	27141.21	GÖZETİM	TRY	0	0	0	522.15	0	0	0	522.15	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	700721200039	OTOMOBİL CAMI	068	1090.64	1090.64	80	4000	39	7858.52	EUR	24/01/2025	V	0100	8100005749	25/01/2025	V	0301	0000313156	14/02/2023	V	1093	23243082611093036201148/7	25/01/2025	V	0300	0000259416					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	295128.83	40	59314.88	P	20	296574.42						296574.42	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	32	39	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	25/01/2025	5610574424	10	03.02.2025	25590100IM00000913	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	T1288EB	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	24.01.2025/8100005749,24.01.2025/8100005750	590100	068	0	221300	HAYIR	8237.52	80	0	0	0	0	11	10	10	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-01335	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	7858.52	B	P	20	01	3	25BG004011025893K0	0	0000259416	25001628-29/3001/5500007240-7214/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	T1288EB	4	068	30	1	5178	EVET	C62	1	3	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	54362.26	EUR	0	0	675139.46	TRY	10000	068	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	2689.73	GÖZETİM	TRY	0	0	0	1445.59	0	0	0	1445.59	yi+yllk	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
