Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	Dokuman_7_Belge_tarihi	Dokuman_7_Dogrulama	Dokuman_7_Kod	Dokuman_7_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	SoruCevap_6_Cevap	SoruCevap_6_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kdv_orani	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	391690100019	PLASTİK PROFİL	004	87.18	64.21	450	7100	13	2209.5	EUR	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	90354.78	40	18262.23	C	20	91311.16	89	898.2	P	0	0	88387.69	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	2508.18	450	0	11	25	1	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	8208.93	TRY	20DE000502333/YFKS	-	PESIN	1	2209.5	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	51.88	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	58.18	0	0	0	58.18	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	391690100019	PLASTİK PROFİL	004	38.08	28.04	500	7100	13	965	EUR	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	39462.88	40	7897.66	C	20	39488.29						88387.69	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	1095.46	500	0	11	25	2	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	3585.64	TRY	20DE000502333/YFKS	-	PESIN	1	965	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	22.66	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	25.41	0	0	0	25.41	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	391690100019	PLASTİK PROFİL	004	134.95	99.38	1000	7100	13	3420	EUR	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	139857.38	40	27989.49	C	20	139947.43						88387.69	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	3882.33	1000	0	11	25	3	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	12706.98	TRY	20DE000502333/YFKS	-	PESIN	1	3420	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	80.3	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	90.05	0	0	0	90.05	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	391690100019	PLASTİK PROFİL	004	167.15	123.09	1200	7100	13	4236	EUR	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	173227	40	34667.71	C	20	173338.53						88387.69	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	4808.64	1200	0	11	25	4	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	15738.96	TRY	20DE000502333/YFKS	-	PESIN	1	4236	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	99.46	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	111.53	0	0	0	111.53	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	391690100019	PLASTİK PROFİL	004	71.03	52.31	500	7100	13	1800	EUR	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	73609.49	40	14731.38	C	20	73656.88						88387.69	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	2043.34	500	0	11	25	5	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	6688.23	TRY	20DE000502333/YFKS	-	PESIN	1	1800	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	42.26	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	47.39	0	0	0	47.39	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	392690979018	KAMERA BRAKETİ	720	19.26	14.18	100	7100	13	488	EUR	04/02/2025	V	1102	18170099282013015773484	04/02/2025	V	0873	18110099232013015773484	04/02/2025	V	1010	18120099282013015773484	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	03/02/2025	V	0102	117696222-3-000037					HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	19956.63	40	4393.03	C	20	21965.14	59	1995.66	C	10	19956.63	88387.69	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	553.98	100	0	11	25	6	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	1813.53	TRY	20DE000502333/YFKS	-	PESIN	1	488	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	11.46	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	12.85	0	0	0	12.85	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	391690100019	PLASTİK PROFİL	004	37.78	27.82	250	7100	13	957.5	EUR	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	39155.78	40	7836.2	C	20	39180.99						88387.69	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	1086.93	250	0	11	25	7	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	3557.39	TRY	20DE000502333/YFKS	-	PESIN	1	957.5	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	22.48	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	25.21	0	0	0	25.21	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	392690979018	Sensörün takıldığı plastik braket	004	78.13	57.54	6000	7100	13	1980	EUR	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037	12/02/2025	V	1102	18170099282013015773484/1	12/02/2025	V	0873	18110099232013015773484/1	12/02/2025	V	1010	18120099282013015773484/1	HAYIR	7780	EVET	4378	HAYIR	5178	EVET	5134	HAYIR	4293	EVET	4168	10	0	P	0	80970.16	40	16204.46	C	20	81022.29						88387.69	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	2247.67	6000	0	11	25	8	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	7356.77	TRY	20DE000502333/YFKS	-	PESIN	1	1980	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	46.49	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	52.13	0	0	0	52.13	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	392690979018	PLASTİK SENSÖR BRAKETİ	004	17.68	13.02	700	7100	13	448	EUR	04/02/2025	V	1102	18170099282013015773484	04/02/2025	V	0873	18110099232013015773484	04/02/2025	V	1010	18120099282013015773484	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	18320.72	40	3666.5	C	20	18332.52						88387.69	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	508.57	700	0	11	25	9	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	1664.76	TRY	20DE000502333/YFKS	-	PESIN	1	448	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	10.52	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	11.8	0	0	0	11.8	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	392690979018	PLASTİK KAMERA BRAKETİ	004	12.13	8.94	250	7100	13	307.5	EUR	04/02/2025	V	1102	18170099282013015773484	04/02/2025	V	0873	18110099232013015773484	04/02/2025	V	1010	18120099282013015773484	13/01/2025	V	0100	988675	16/01/2025	V	0301	L143558	16/01/2025	V	0300	L38305508	03/02/2025	V	0102	117696222-3-000037	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	12574.55	40	2516.53	C	20	12582.65						88387.69	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR.*  [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	13	13	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	03/02/2025	5610574424	12.02.2025	25341300AN00019630	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378 / 34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	349.06	250	0	11	25	10	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-01638	8140496162	0	1142.17	TRY	20DE000502333/YFKS	-	PESIN	1	307.5	B	C	20	01	3	25DE875682557544L1	117696222-3-000037	2500106403-406-411-407-408-409-412-401-402-403-410-404-405-401-402/3001/5500006713-6714-6715/BSERAB	7.22	TRY	0	34 HSE 378 / 34 MPP 122	3	052	17	9	5178	C62	1	52	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56970.32	EUR	211673.22	1337.58	TRY	0	TRY	1500	TRY	004	AT	9	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	8.1	0	0	0	8.1	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
