Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	320710000000	GLASS ENAMEL BLACK	003	555	496.9	496.9	7100	573	16468.38	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	620663.41	40	124407.82	C	20	622039.11	89	898.2	P	0	0	1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	17196.61	496.9	0	11	13	1	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	3794.48	TRY	22NL000712183/YFKS	-	PESIN	1	16468.38	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	393.24	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	477.5	0	0	238.75	238.75	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	320710000000	GLASS ENAMEL BLACK	003	571	507	507	7100	573	11413.71	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	431436.09	40	86353.41	C	20	431767.03						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	11953.72	507	0	11	13	2	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	3903.87	TRY	22NL000712183/YFKS	-	PESIN	1	11413.71	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	272.54	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	330.94	0	0	165.47	165.47	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	320710000000	GLASS ENAMEL BLACK	003	3362	3010.1	3010.1	7100	573	49041.25	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	1859961.95	40	372276.78	C	20	1861383.89						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	51533.63	3010.1	0	11	13	3	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	22985.66	TRY	22NL000712183/YFKS	-	PESIN	1	49041.25	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	1171.04	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	1421.94	0	0	710.97	710.97	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	320710000000	GLASS ENAMEL BLACK	003	3419	3054.5	3054.5	7100	573	49764.65	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	1887448.61	40	377778.31	C	20	1888891.53						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	52295.19	3054.5	0	11	13	4	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	23375.37	TRY	22NL000712183/YFKS	-	PESIN	1	49764.65	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	1188.31	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	1442.92	0	0	721.46	721.46	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	320710000000	GLASS ENAMEL BLACK ( BOYA )	003	2235	1998.4	1998.4	7100	573	44309	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	1674997.2	40	335256.39	C	20	1676281.94						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	46408.84	1998.4	0	11	13	5	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	15280.48	TRY	22NL000712183/YFKS	-	PESIN	1	44309	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	1058.04	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	1284.74	0	0	642.37	642.37	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	320710000000	GLASS ENAMEL BLACK ( BOYA )	003	558	500	500	7100	573	13486.12	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	508975.09	40	101873.22	C	20	509366.11						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	14102.08	500	0	11	13	6	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	3814.99	TRY	22NL000712183/YFKS	-	PESIN	1	13486.12	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	322.03	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	391.02	0	0	195.51	195.51	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	382370009000	DILUENT(RM.527/4) ( SINAİ YAĞ ALKOLÜ) ( GIDA TARIM VE HAYVANCILIK YEM SAN. KULLANILANLARDAN DEĞİLDİR)	400	184	152	152	7100	573	1710.37	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	65324.65	40	13074.85	C	20	65374.25						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	1809.94	152	0	11	13	7	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	1257.99	TRY	22NL000712183/YFKS	-	PESIN	1	1710.37	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	40.84	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	49.6	0	0	24.8	24.8	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	320710000000	GLASS ENAMEL BLACK	003	2219	1991.8	1991.8	7100	573	47787.73	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	1805193.31	40	361315.78	C	20	1806578.91						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	50016.16	1991.8	0	11	13	8	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	15171.09	TRY	22NL000712183/YFKS	-	PESIN	1	47787.73	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	1141.11	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	1385.6	0	0	692.8	692.8	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	320710000000	SİLVER PASTE ( BOYA )	003	36	25	25	7100	573	21282.57	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	797443.93	40	159612.2	C	20	798061.01						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	22094.63	25	0	11	13	9	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	246.13	TRY	22NL000712183/YFKS	-	PESIN	1	21282.57	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	508.2	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	617.08	0	0	308.54	308.54	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	320710000000	SILVER PASTE	003	39	25	25	7100	573	16552.58	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	HAYIR	7780	EVET	4378	HAYIR	5178	10	0	P	0	620289.51	40	124153.89	C	20	620769.45						1303353.49	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737	38	573	FENZI AGT NETHERLANDS B.V.	0	0	0	6	8140496162	HAYIR	A0262	A34000147	006401924034	0	HAYIR	30/01/2025	5610574424	13.02.2025	25341300AN00020139	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	A34000147 ULUSAL ANTREPO	341300	003	343100	HAYIR	17186.25	25	0	11	13	10	YFKS	40	HAYIR	46450213454	ADDR	KGM	EVRT25-02031	8140496162	0	266.64	TRY	22NL000712183/YFKS	-	PESIN	1	16552.58	B	C	20	01	3	25AT600000GI4DJ9K1	S203880020	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	395.25	TRY	0	34 EKS 331	3	052	17	9	5178	KGM	1	3	0	100	GTRANT-2	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	10000	TRY	003	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	479.94	0	0	239.97	239.97	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
