Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	Dokuman_7_Belge_tarihi	Dokuman_7_Dogrulama	Dokuman_7_Kod	Dokuman_7_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	SoruCevap_6_Cevap	SoruCevap_6_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kdv_orani	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	392690979018	PLASTIK BRAKET	004	6.16	4.29	200	7100	7	268	EUR	12/02/2025	V	1102	18170099282013015773484/1	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	24/01/2025	V	0300	L 38339592	12/02/2025	V	0873	18110099232013015773484/1	12/02/2025	V	1010	18120099282013015773484/1	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	10960.54	40	2373.27	C	20	11866.35	89	898.2	P	0	0	81381.22	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	304.26	200	0	11	17	1	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	996.4	TRY	20DE000502333/YFKS	-	PESIN	1	268	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	6.6	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	7.61	0	0	0	7.61	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	391690100019	PLASTİK PROFİL	004	270.94	189	2743	7100	7	11794.9	EUR	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	24/01/2025	V	0300	L 38339592													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	482355.46	40	96538.07	C	20	482690.35						81381.22	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	13389.8	2743	0	11	17	2	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	43825.61	TRY	20DE000502333/YFKS	-	PESIN	1	11794.9	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	290.34	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	334.89	0	0	0	334.89	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	391690100019	PLASTİK PROFİL	004	22.22	15.5	250	7100	7	967.5	EUR	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	24/01/2025	V	0300	L 38339592													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	39565.45	40	7918.58	C	20	39592.92						81381.22	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	1098.31	250	0	11	17	3	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	3594.17	TRY	20DE000502333/YFKS	-	PESIN	1	967.5	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	23.82	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	27.47	0	0	0	27.47	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	391690100019	PLASTİK PROFİL	004	45.14	31.49	500	7100	7	1965	EUR	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	24/01/2025	V	0300	L 38339592													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	80359.52	40	16083.06	C	20	80415.31						81381.22	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	2230.72	500	0	11	17	4	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	7301.57	TRY	20DE000502333/YFKS	-	PESIN	1	1965	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	48.37	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	55.79	0	0	0	55.79	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	392690979018	KAMERA BRAKETİ	720	11.21	7.82	100	7100	7	488	EUR	12/02/2025	V	1102	18170099282013015773484/1	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	12/02/2025	V	0873	18110099232013015773484/1	12/02/2025	V	1010	18120099282013015773484/1					HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	19956.91	40	4393.29	C	20	21966.46	59	1995.69	C	10	19956.91	81381.22	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	553.99	100	0	11	17	5	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	1813.26	TRY	20DE000502333/YFKS	-	PESIN	1	488	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	12.01	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	13.86	0	0	0	13.86	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	902580809000	YOĞUŞMA SENSÖRÜ ( ALKOLMETRE VE ALKOLHİDROMETRELERİ DEĞİLDİR )	004	26.92	18.78	100	7100	7	1172	EUR	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	24/01/2025	V	0300	L 38339592													HAYIR	7780	EVET	4378	HAYIR	4167	HAYIR	5178					10	0	P	0	47928.93	40	9592.44	C	20	47962.21						81381.22	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	1330.47	100	0	11	17	6	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	4354.42	TRY	20DE000502333/YFKS	-	PESIN	1	1172	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	28.85	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	33.28	0	0	0	33.28	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	391690100019	PLASTİK PROFİL	004	225.75	157.48	2700	7100	7	9828	EUR	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	24/01/2025	V	0300	L 38339592													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	401917.21	40	80439.25	C	20	402196.26						81381.22	*2025/5 tebliğ kapsamında değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	11156.9	2700	0	11	17	7	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	36515.95	TRY	20DE000502333/YFKS	-	PESIN	1	9828	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	241.92	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	279.05	0	0	0	279.05	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	854442900019	KABLO (AKÜ KABLOSU DEĞİLDİR)	720	93.72	65.38	800	7100	7	4080	EUR	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048																	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178					10	0	P	0	166852.41	40	38399.22	C	20	191996.11	59	25027.86	C	15	166852.41	81381.22	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	4631.69	800	0	11	17	8	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	15159.58	TRY	20DE000502333/YFKS	-	PESIN	1	4080	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	100.43	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	115.84	0	0	0	115.84	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	854442900019	KABLO (AKÜ KABLOSU DEĞİLDİR)	720	106.58	74.35	800	7100	7	4640	EUR	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048																	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178					10	0	P	0	189753.15	40	43669.57	C	20	218347.86	59	28462.97	C	15	189753.15	81381.22	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	5267.4	800	0	11	17	9	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	17239.73	TRY	20DE000502333/YFKS	-	PESIN	1	4640	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	114.22	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	131.74	0	0	0	131.74	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	392690979018	PLASTİK KAMERA BRAKETİ	004	30.55	21.31	700	7100	7	1330	EUR	12/02/2025	V	1102	18170099282013015773484/1	24/01/2025	V	0301	L 143561	21/01/2025	V	0100	989154	04/02/2025	V	0102	117696222-3-000048	12/02/2025	V	0873	18110099232013015773484/1	12/02/2025	V	1010	18120099282013015773484/1	24/01/2025	V	0300	L 38339592	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	54390.47	40	10885.65	C	20	54428.23						81381.22	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	7	7	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	12.02.2025	25341300AN00019590	Siemensring 4247877 Willich / Germany	HAYIR	004	34 HSE 378/34 MPP 122	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	343400	HAYIR	1509.84	700	0	11	17	10	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02039	8140496162	0	4941.58	TRY	20DE000502333/YFKS	-	PESIN	1	1330	B	C	15	01	3	25DE875682557544L1	117696222-3-000048	2500181701-702-703-704-705-706-707-708-709-710-711-712/3001/5500008226-7668-8602-7492-7493-7670-9535	32.74	TRY	0	34 HSE 378/34 MPP 122	3	052	17	9	5178	C62	1	56	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	52829.6	EUR	196288.38	1300.43	TRY	0	TRY	1500	TRY	004	AT	6	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	37.76	0	0	0	37.76	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
