Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	SoruCevap_6_Cevap	SoruCevap_6_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kdv_orani	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	851240000012	KAMERA ISITMA PEDİ	011	18.38	15.57	200	7100	4	741.36	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	30980.89	40	6382.65	C	20	31913.24	89	898.2	P	0	0	194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	855.42	200	0	11	27	1	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	2814.49	TRY	20ES000484403/YFKS	-	PESIN	1	741.36	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	20.74	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	34.15	0	0	0	34.15	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	392630000000	KAMERA BRAKETİ	011	12.42	10.52	200	7100	4	500.92	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	20932.75	40	4191.16	C	20	20955.82						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	577.98	200	0	11	27	2	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	1901.35	TRY	20ES000484403/YFKS	-	PESIN	1	500.92	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	14.02	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	23.07	0	0	0	23.07	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	851240000012	KAMERA ISITMA PEDİ	011	47.67	40.39	600	7100	4	1923.53	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	80382.48	40	16094.22	C	20	80471.08						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	2219.44	600	0	11	27	3	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	7302.04	TRY	20ES000484403/YFKS	-	PESIN	1	1923.53	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	53.82	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	88.6	0	0	0	88.6	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	392630000000	YAĞMUR SENSÖR BRAKETİ	011	4.72	4	200	7100	4	190.35	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	7955.11	40	1592.78	C	20	7963.88						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	219.65	200	0	11	27	4	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	723.16	TRY	20ES000484403/YFKS	-	PESIN	1	190.35	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	5.33	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	8.77	0	0	0	8.77	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	392630000000	KAMERA BRAKETİ	011	33.07	28.02	400	7100	4	1334.45	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	55766.29	40	11165.55	C	20	55827.76						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1539.77	400	0	11	27	5	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	5066.69	TRY	20ES000484403/YFKS	-	PESIN	1	1334.45	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	37.34	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	61.47	0	0	0	61.47	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	392630000000	YAGMUR SENSOR BRAKETİ	011	8.21	6.96	315	7100	4	331.36	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	13847.18	40	2772.49	C	20	13862.44						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	382.34	315	0	11	27	6	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	1257.86	TRY	20ES000484403/YFKS	-	PESIN	1	331.36	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	9.27	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	15.26	0	0	0	15.26	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	870899979929	AYNA PLAKETİ	011	30.2	25.59	1872	7100	4	1219.04	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	50943.35	40	10199.9	C	20	50999.5						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1406.6	1872	0	11	27	7	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	4628.51	TRY	20ES000484403/YFKS	-	PESIN	1	1219.04	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	34.11	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	56.15	0	0	0	56.15	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	853669900018	KONNEKTÖR ( MOTORLU KARA TAŞITLARINDA KULLANILANLARDANDIR )	011	131.09	111.06	3200	7100	4	5289.7	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5057	HAYIR	4329	HAYIR	5178			10	0	P	0	221053.85	40	44259.5	C	20	221297.5						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	6103.53	3200	0	11	27	8	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	20082.92	TRY	20ES000484403/YFKS	-	PESIN	1	5289.7	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	148	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	243.65	0	0	0	243.65	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	851240000012	ARAÇLAR İÇİN BUĞLANMAYI ÖNLEYİCİ KAMERA ISITMA PEDİ	011	223.42	189.29	3000	7100	4	9016.53	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	376794.37	40	75441.94	C	20	377209.68						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	10403.68	3000	0	11	27	9	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	34230.43	TRY	20ES000484403/YFKS	-	PESIN	1	9016.53	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	252.28	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	415.31	0	0	0	415.31	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	392630000000	KAMERA BRAKETİ	011	27.74	23.5	490	7100	4	1119.25	EUR	05/02/2025	V	0301	GA 0544090 T	04/02/2025	V	0100	32795	09/02/2025	V	0102	117696222-3-000177									HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	46772.07	40	9364.72	C	20	46823.62						194884.59	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	1	4	ORIBAY GROUP AUTOMOTIVE S.L.	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	09/02/2025	5610574424	18.02.2025	25341300AN00023260	Portuetxe Bidea N1820018 - San SebastianGipuzkoa - Spain	HAYIR	011	34 SN 2884	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	001	220200	HAYIR	1291.43	490	0	11	27	10	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02049	8140496162	0	4248.54	TRY	20ES000484403/YFKS	-	PESIN	1	1119.25	B	C	20	01	3	25FR425004220039L9	117696222-3-000177	2500304401-2500304402/3001/5500009092-5500009093/SAKCAN	31.32	TRY	0	34 SN 2884	4	052	30	9	5178	C62	1	4	0	100	GTRANT-1	EXW	İSPANYA	011	Gonderici	54275.99	EUR	206058.25	1518.6	TRY	0	TRY	2500	TRY	011	AT	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	51.55	0	0	0	51.55	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
