Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	AliciSatici	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Banka_kodu	Basitlestirilmis_usul	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	BeyannameKalemNo	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	DigerOdemeler	Dogrulama	DolayliIntikal	DolayliOdeme	Edim	Emsal	Esyanin_bulundugu_yer	FaturaTarihiSayisi	GUMRUK	Gidecegi_sevk_ulkesi	GirisSonrasiNakliye	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	IthalaKatilanMalzeme	IthalaUretimAraclar	IthalaUretimTuketimMalzemesi	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	KapAmbalajBedeli	Kimlik_turu	Kisitlamalar	KiymetKalemNo	Kod	Komisyon	Konteyner	Kullanici_kodu	Kullanilmis_esya	Marka	Miktar_birimi	Muafiyetler_1	Muafiyetler_2	Munasebet	Musavir_referansi	Musavir_vergi_no	Nakliye	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	PlanTaslak	Referans	Referans_no	Royalti	RoyaltiLisans	SaticiyaIntikal	SehirYer	Sigorta	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Taahutname	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	TeknikYardim	Telafi_edici_vergi	Tellaliye	TeslimSekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Ulke_kodu	Uluslararasi_anlasma	VergiHarcFon	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Diger_Aciklama	YurtDisi_Diger_Dovizi	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	700711100029	OTOMOBİL CAMI	066	455.32	455.32	2100	4000	46	2836.86	EUR	13/02/2025	V	1005	25243082611005066994815/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	107115.35	40	21890.75	P	20	109453.76	89	1128.9	P	0	0	191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	2967.83	2100	0	0	0	0	11	11	1	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	2836.86	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	166.01	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	754.61	GÖZETİM	TRY	0	0	0	1209.51	0	0	0	1209.51	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	700711100029	OTOMOBİL CAMI	066	379.43	379.43	1750	4000	46	2364.05	EUR	13/02/2025	V	1005	25243082611005066994810/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	89262.79	40	18054.14	P	20	90270.71						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	2473.19	1750	0	0	0	0	11	11	2	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	2364.05	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	138.34	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	628.84	GÖZETİM	TRY	0	0	0	1007.92	0	0	0	1007.92	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	700721200039	OTOMOBİL CAMI	066	2253.39	2253.39	840	4000	46	10591.26	EUR	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2					HAYIR	7780	HAYIR	4293	HAYIR	5178			10	0	P	0	399909.27	40	80884.98	P	20	404424.91						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	11080.21	840	0	0	0	0	11	11	3	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	10591.26	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	619.8	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	2817.3	GÖZETİM	TRY	0	0	0	4515.64	0	0	0	4515.64	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	700721200039	OTOMOBİL CAMI	066	375.56	375.56	140	4000	46	2193.62	EUR	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2					HAYIR	7780	HAYIR	4293	HAYIR	5178			10	0	P	0	82827.63	40	16752.58	P	20	83762.89						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	2294.89	140	0	0	0	0	11	11	4	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	2193.62	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	128.37	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	583.51	GÖZETİM	TRY	0	0	0	935.26	0	0	0	935.26	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	700711100029	OTOMOBİL CAMI	066	867.27	867.27	2800	4000	46	4045.65	EUR	13/02/2025	V	1005	25243082611005066994814/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	152757.36	40	30896.45	P	20	154482.24						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	4232.42	2800	0	0	0	0	11	11	5	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	4045.65	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	236.75	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	1076.15	GÖZETİM	TRY	0	0	0	1724.88	0	0	0	1724.88	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	700711100029	OTOMOBİL CAMI	066	309.47	309.47	1200	4000	46	1733.85	EUR	13/02/2025	V	1005	25243082611005066994806/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	65467.45	40	13241.34	P	20	66206.69						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	1813.9	1200	0	0	0	0	11	11	6	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	1733.85	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	101.47	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	461.21	GÖZETİM	TRY	0	0	0	739.24	0	0	0	739.24	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	700711100029	OTOMOBİL CAMI	066	148.66	148.66	800	4000	46	1110.76	EUR	13/02/2025	V	1005	25243082611005066994809/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	41940.54	40	8482.82	P	20	42414.12						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	1162.04	800	0	0	0	0	11	11	7	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	1110.76	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	65	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	295.46	GÖZETİM	TRY	0	0	0	473.58	0	0	0	473.58	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	700711100029	OTOMOBİL CAMI	066	223.01	223.01	1200	4000	46	2478.3	EUR	13/02/2025	V	1005	25243082611005066994807/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	93576.69	40	18926.67	P	20	94633.33						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	2592.71	1200	0	0	0	0	11	11	8	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	2478.3	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	145.03	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	659.23	GÖZETİM	TRY	0	0	0	1056.64	0	0	0	1056.64	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	700711100029	OTOMOBİL CAMI	066	223.01	223.01	1200	4000	46	2478.3	EUR	13/02/2025	V	1005	25243082611005066994813/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	93576.69	40	18926.67	P	20	94633.33						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	2592.71	1200	0	0	0	0	11	11	9	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	2478.3	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	145.03	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	659.23	GÖZETİM	TRY	0	0	0	1056.64	0	0	0	1056.64	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	700711100029	OTOMOBİL CAMI	066	75.89	75.89	350	4000	46	340.99	EUR	13/02/2025	V	1005	25243082611005066994812/1	13/02/2025	V	0102	117695822-3-000060	11/02/2025	V	0100	0000053490	11/02/2025	V	0301	L002168	11/02/2025	V	0300	174	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	12875.24	40	2604.12	P	20	13020.62						191393.97	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]**Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89919685 /12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	7	46	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	EVET	006401924034	3	HAYIR	14/02/2023	5610574424	11	13.02.2025	25341200IM00035424	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	AG33FCS	4	066	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	11.02.2025/0000053490	341200	066	0	221300	HAYIR	356.73	350	0	0	0	0	11	11	10	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02145	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	340.99	B	P	20	01	2	25ROGL1500PPMF67K2	0	23243082611093036201148/2	25002774-75/3001/5500007295-7163/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	293.11	19.95	TRY	0	AG33FCS	4	066	30	1	5178	EVET	C62	1	3	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	35181.96	EUR	0	2058.86	TRY	9510.84	TRY	15000	066	AT	0	3	ERENKÖY GÜMRÜK MÜDÜRLÜĞÜ	0	90.7	GÖZETİM	TRY	0	0	0	145.38	0	0	0	145.38	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
