Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	Dokuman_7_Belge_tarihi	Dokuman_7_Dogrulama	Dokuman_7_Kod	Dokuman_7_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	AliciSatici	Alici_satici_iliskisi	Alici_vergi_no	Antrepo_kodu	Banka_kodu	Belge_tarihi	Beyan_sahibi_vergi_no	BeyannameKalemNo	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	DigerOdemeler	Dogrulama	DolayliIntikal	DolayliOdeme	Edim	Esyanin_bulundugu_yer	FaturaTarihiSayisi	GUMRUK	Gidecegi_sevk_ulkesi	GirisSonrasiNakliye	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	IthalaKatilanMalzeme	IthalaUretimAraclar	IthalaUretimTuketimMalzemesi	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	KapAmbalajBedeli	Kapatilan_beyanname_no	Kapatilan_kalem_no	Kapatilan_miktar	Kimlik_turu	Kisitlamalar	KiymetKalemNo	Kod	Komisyon	Konteyner	Kullanici_kodu	Kullanilmis_esya	Marka	Miktar_birimi	Muafiyetler_2	Musavir_referansi	Musavir_vergi_no	Nakliye	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	PlanTaslak	Referans	Referans_no	Royalti	RoyaltiLisans	SaticiyaIntikal	SehirYer	Sigorta	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Taahutname	Tamamlayici_olcu_birimi	TeknikYardim	Telafi_edici_vergi	Tellaliye	TeslimSekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	VergiHarcFon	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	320710000000	GLASS ENAMEL BLACK	003	555	496.9	496.9	4071	573	16468.38	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	620663.41	40	124883.71	P	20	624418.56	89	1128.9	P	0	0	1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	17196.61	496.9	0	0	0	0	11	13	1	0	25341300AN00020139	1	496.9	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	3794.48	TRY	22NL000712183/YFKS	-	PESIN	1	16468.38	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	393.24	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	2626.25	0	0	1432.5	1193.75	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	320710000000	GLASS ENAMEL BLACK	003	571	507	507	4071	573	11413.71	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	431436.09	40	86651.25	P	20	433256.26						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	11953.72	507	0	0	0	0	11	13	2	0	25341300AN00020139	2	507	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	3903.87	TRY	22NL000712183/YFKS	-	PESIN	1	11413.71	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	272.54	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	1820.17	0	0	992.82	827.35	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	320710000000	GLASS ENAMEL BLACK	003	3362	3010.1	3010.1	4071	573	49041.25	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	1859961.95	40	373556.53	P	20	1867782.67						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	51533.63	3010.1	0	0	0	0	11	13	3	0	25341300AN00020139	3	3010.1	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	22985.66	TRY	22NL000712183/YFKS	-	PESIN	1	49041.25	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	1171.04	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	7820.72	0	0	4265.85	3554.87	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	320710000000	GLASS ENAMEL BLACK	003	3419	3054.5	3054.5	4071	573	49764.65	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	1887448.61	40	379076.94	P	20	1895384.69						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	52295.19	3054.5	0	0	0	0	11	13	4	0	25341300AN00020139	4	3054.5	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	23375.37	TRY	22NL000712183/YFKS	-	PESIN	1	49764.65	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	1188.31	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	7936.08	0	0	4328.77	3607.31	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	320710000000	GLASS ENAMEL BLACK ( BOYA )	003	2235	1998.4	1998.4	4071	573	44309	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	1674997.2	40	336412.65	P	20	1682063.25						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	46408.84	1998.4	0	0	0	0	11	13	5	0	25341300AN00020139	5	1998.4	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	15280.48	TRY	22NL000712183/YFKS	-	PESIN	1	44309	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	1058.04	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	7066.05	0	0	3854.21	3211.84	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	320710000000	GLASS ENAMEL BLACK ( BOYA )	003	558	500	500	4071	573	13486.12	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	508975.09	40	102225.15	P	20	511125.75						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	14102.08	500	0	0	0	0	11	13	6	0	25341300AN00020139	6	500	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	3814.99	TRY	22NL000712183/YFKS	-	PESIN	1	13486.12	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	322.03	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	2150.66	0	0	1173.09	977.57	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	382370009000	DILUENT(RM.527/4) ( SINAİ YAĞ ALKOLÜ) ( GIDA TARIM VE HAYVANCILIK YEM SAN. KULLANILANLARDAN DEĞİLDİR)	400	184	152	152	4071	573	1710.37	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139	13/02/2025	V	0902	10617541565699503532523/1	HAYIR	7780	HAYIR	5178	10	0	P	0	65324.65	40	13119.48	P	20	65597.41						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	1809.94	152	0	0	0	0	11	13	7	0	25341300AN00020139	7	152	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	1257.99	TRY	22NL000712183/YFKS	-	PESIN	1	1710.37	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	40.84	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	272.76	0	0	148.78	123.98	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	320710000000	GLASS ENAMEL BLACK	003	2219	1991.8	1991.8	4071	573	47787.73	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	1805193.31	40	362562.83	P	20	1812814.13						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	50016.16	1991.8	0	0	0	0	11	13	8	0	25341300AN00020139	8	1991.8	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	15171.09	TRY	22NL000712183/YFKS	-	PESIN	1	47787.73	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	1141.11	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	7620.82	0	0	4156.81	3464.01	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	320710000000	SİLVER PASTE ( BOYA )	003	36	25	25	4071	573	21282.57	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	797443.93	40	160167.58	P	20	800837.91						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	22094.63	25	0	0	0	0	11	13	9	0	25341300AN00020139	9	25	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	246.13	TRY	22NL000712183/YFKS	-	PESIN	1	21282.57	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	508.2	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	3393.98	0	0	1851.26	1542.72	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	320710000000	SILVER PASTE	003	39	25	25	4071	573	16552.58	EUR	30/01/2025	V	0301	AN03723710	30/01/2025	V	0100	1460364	04/02/2025	V	0101	TCT202500001557	11/02/2025	V	0102	117696222-3-000122	30/01/2025	V	0300	S203880020	13/02/2025	V	0200	25341300AN00020139					HAYIR	7780	HAYIR	5178	10	0	P	0	620289.51	40	124585.84	P	20	622929.18						1307846.65	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  ]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.] [Ant.Bey.ait DV.y.içi Gidere eklenmiştir.]	573	FENZI AGT NETHERLANDS B.V.	0	0	0	YOK	6	8140496162	A34000147	006401924034	13/02/2025	5610574424	13	13.02.2025	25341300IM00029828	fregatweg 38 66222 nz maastrichtthe netherlands	HAYIR	003	34 EKS 331	4	052	BI	0	V	0	0	HAYIR	A34000147 ULUSAL ANTREPO	30.01.2025/1460364,30.01.2025/1460365	341300	003	0	343100	HAYIR	17186.25	25	0	0	0	0	11	13	10	0	25341300AN00020139	10	25	YFKS	HAYIR	13	40	0	HAYIR	46450213454	k1	ADDR	KGM	KKDFM	EVRT25-02150	8140496162	12443.16	266.64	TRY	22NL000712183/YFKS	-	PESIN	1	16552.58	B	P	20	01	0	25341300AN00020139	2500273201-2500273202/3001/5500010385-5500010385/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	822.31	395.25	TRY	0	34 EKS 331	3	052	17	9	5178	EVET	KGM	0	0	0	FCA	FCA	HOLLANDA	003	Gonderici	344887.49	EUR	102943.23	8235.46	TRY	0	TRY	55000	TRY	003	AT	0	4	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	2639.67	0	0	1439.82	1199.85	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
