Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	AliciSatici	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Banka_kodu	Basitlestirilmis_usul	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	BeyannameKalemNo	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	DigerOdemeler	Dogrulama	DolayliIntikal	DolayliOdeme	Edim	Emsal	Esyanin_bulundugu_yer	FaturaTarihiSayisi	GUMRUK	Gidecegi_sevk_ulkesi	GirisSonrasiNakliye	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	IthalaKatilanMalzeme	IthalaUretimAraclar	IthalaUretimTuketimMalzemesi	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	KapAmbalajBedeli	Kimlik_turu	Kisitlamalar	KiymetKalemNo	Kod	Komisyon	Konteyner	Kullanici_kodu	Kullanilmis_esya	Marka	Miktar_birimi	Muafiyetler_1	Muafiyetler_2	Munasebet	Musavir_referansi	Musavir_vergi_no	Nakliye	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	PlanTaslak	Referans	Referans_no	Royalti	RoyaltiLisans	SaticiyaIntikal	SehirYer	Sigorta	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Taahutname	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	TeknikYardim	Telafi_edici_vergi	Tellaliye	TeslimSekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Ulke_kodu	Uluslararasi_anlasma	VergiHarcFon	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Diger_Aciklama	YurtDisi_Diger_Dovizi	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	700721200039	OTOMOBİL CAMI	066	1759.68	1492.08	120	4000	44	6463.76	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	246067.47	40	49707.76	P	20	248538.78	89	1128.9	P	0	0	63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	6814.42	120	0	0	0	0	11	11	1	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	6463.76	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	353.54	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	2525.3	GÖZETİM	TRY	0	0	0	1342.41	0	0	0	1342.41	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	700721200039	OTOMOBİL CAMI	066	2165.84	1971.44	120	4000	44	7792.32	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	323392.1	40	65002.09	P	20	325010.43						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	8955.8	120	0	0	0	0	11	11	2	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	7792.32	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	426.21	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	29792.32	GÖZETİM	TRY	0	0	0	1618.33	0	0	0	1618.33	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	700711100029	OTOMOBİL CAMI	066	149.8	104.8	20	4000	44	800.65	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061	14/02/2025	V	1005	25243082611005067069348/1	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	30479.77	40	6129.21	P	20	30646.05						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	844.09	20	0	0	0	0	11	11	3	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	800.65	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	43.79	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	312.8	GÖZETİM	TRY	0	0	0	166.28	0	0	0	166.28	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	700711100029	OTOMOBİL CAMI	066	426.31	313.7	49	4000	44	1855.46	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061	14/02/2025	V	1005	25243082611005067069344/1	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	70635.1	40	14204.09	P	20	71020.45						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	1956.12	49	0	0	0	0	11	11	4	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	1855.46	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	101.49	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	724.9	GÖZETİM	TRY	0	0	0	385.35	0	0	0	385.35	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	700721200039	OTOMOBİL CAMI	066	289.33	259.52	15	4000	44	1021.55	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	42569.47	40	8556.33	P	20	42781.63						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	1178.89	15	0	0	0	0	11	11	5	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	1021.55	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	55.87	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	4079.42	GÖZETİM	TRY	0	0	0	212.16	0	0	0	212.16	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	700711100029	OTOMOBİL CAMI	066	476.29	366.3	60	4000	44	2233.32	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061	14/02/2025	V	1005	25243082611005067069343/1	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	85019.77	40	17096.72	P	20	85483.59						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	2354.48	60	0	0	0	0	11	11	6	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	2233.32	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	122.15	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	872.53	GÖZETİM	TRY	0	0	0	463.82	0	0	0	463.82	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	700711100029	OTOMOBİL CAMI	066	70.17	28.85	10	4000	44	143.79	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061	14/02/2025	V	1005	25243082611005067069342/1	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	5473.91	40	1100.75	P	20	5503.77						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	151.59	10	0	0	0	0	11	11	7	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	143.79	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	7.86	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	56.18	GÖZETİM	TRY	0	0	0	29.86	0	0	0	29.86	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	700721200039	OTOMOBİL CAMI	066	734.51	635.09	45	4000	44	4310.19	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	164083.68	40	32995.77	P	20	164978.83						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	4544.02	45	0	0	0	0	11	11	8	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	4310.19	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	235.75	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	1683.93	GÖZETİM	TRY	0	0	0	895.15	0	0	0	895.15	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	700711100029	OTOMOBİL CAMI	066	164.08	127.7	20	4000	44	779.8	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061	14/02/2025	V	1005	25243082611005067069350/1	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	29686.04	40	5969.6	P	20	29847.99						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	822.11	20	0	0	0	0	11	11	9	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	779.8	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	42.65	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	304.66	GÖZETİM	TRY	0	0	0	161.95	0	0	0	161.95	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	700721200039	OTOMOBİL CAMI	066	3414.33	2949.62	209	4000	44	21086.56	EUR	10/02/2025	V	0100	0000053453	10/02/2025	V	0301	L002167	10/02/2025	V	0300	169	14/02/2023	V	1093	23243082611093036201148/2	14/02/2024	V	0102	117695822-3-000061					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	802739.64	40	161423.79	P	20	807118.94						63658.35	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	9	44	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2024	5610574424	11	14.02.2025	25590100IM00001286	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 KF 3417	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	10.02.2025/0000053453	590100	068	0	221300	HAYIR	22230.52	209	0	0	0	0	11	11	10	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02226	8140496162	0	0	TRY	21RO000630121/YFKS	.	PESIN	1	21086.56	B	P	20	01	3	25BG004006296837M6	0	117695822-3-000061	25002631-2470/3001/5500007166/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	90.98	1153.35	TRY	0	34 KF 3417	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	48150.52	EUR	0	2633.64	TRY	49240	TRY	10000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	8238.21	GÖZETİM	TRY	0	0	0	4379.3	0	0	0	4379.3	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
