Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kdv_orani	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	854442900019	KABLOLU KONNEKTÖR	004	17.29	16.4	10000	7100	2	1656.81	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178	10	0	P	0	69060.29	40	14006.47	C	20	70032.36	89	898.2	P	0	0	200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	1909.27	10000	0	11	14	1	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	6275.78	TRY	18DE000011960/YFKS	-	PESIN	1	1656.81	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	44.76	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	73.87	0	0	0	73.87	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	854442900019	KABLO (AKÜ KABLOSU DEĞİLDİR)	004	54.16	51.38	10000	7100	2	5191.34	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178	10	0	P	0	216383.39	40	43322.97	C	20	216614.84						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	5982.22	10000	0	11	14	2	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	19658.54	TRY	18DE000011960/YFKS	-	PESIN	1	5191.34	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	140.23	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	231.45	0	0	0	231.45	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	853690100000	KONNEKTÖR	004	20.93	19.86	6000	7100	2	2006.25	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	5178			10	0	P	0	83623.45	40	16742.58	C	20	83712.9						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	2311.89	6000	0	11	14	3	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	7596.99	TRY	18DE000011960/YFKS	-	PESIN	1	2006.25	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	54.19	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	89.45	0	0	0	89.45	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	853690100000	KONNEKTÖR	004	20.93	19.86	6000	7100	2	2006.25	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	5178			10	0	P	0	83623.45	40	16742.58	C	20	83712.9						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	2311.89	6000	0	11	14	4	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	7596.99	TRY	18DE000011960/YFKS	-	PESIN	1	2006.25	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	54.19	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	89.45	0	0	0	89.45	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	853690100000	KONEKTÖR	004	130.72	124.01	40000	7100	2	12531.5	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	5178			10	0	P	0	522326.49	40	104577.04	C	20	522885.2						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	14440.44	40000	0	11	14	5	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	47447.64	TRY	18DE000011960/YFKS	-	PESIN	1	12531.5	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	338.51	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	558.71	0	0	0	558.71	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	854442900019	KABLO (AKÜ KABLOSU DEĞİLDİR)	004	102.87	97.6	10000	7100	2	9860.53	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178	10	0	P	0	411001.82	40	82288.29	C	20	411441.44						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	11362.71	10000	0	11	14	6	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	37338.88	TRY	18DE000011960/YFKS	-	PESIN	1	9860.53	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	266.36	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	439.62	0	0	0	439.62	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	854442900019	KABLOLU KONNEKTÖR	004	25.93	24.6	15000	7100	2	2485.22	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178	10	0	P	0	103588.79	40	20739.92	C	20	103699.59						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	2863.86	15000	0	11	14	7	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	9411.85	TRY	18DE000011960/YFKS	-	PESIN	1	2485.22	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	67.13	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	110.8	0	0	0	110.8	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	854442900019	KABLOLU KONNEKTÖR	004	25.93	24.6	15000	7100	2	2485.22	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178	10	0	P	0	103588.79	40	20739.92	C	20	103699.59						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	2863.86	15000	0	11	14	8	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	9411.85	TRY	18DE000011960/YFKS	-	PESIN	1	2485.22	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	67.13	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	110.8	0	0	0	110.8	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	854442900019	KABLO ( AKÜ TAKVİYE KABLOSU DEĞİLDİR )	004	46.83	44.43	10000	7100	2	4488.45	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404203	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178	10	0	P	0	187086.94	40	37457.41	C	20	187287.05						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	5172.28	10000	0	11	14	9	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	16997.96	TRY	18DE000011960/YFKS	-	PESIN	1	4488.45	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	121.25	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	200.11	0	0	0	200.11	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	853690100000	KONNEKTÖR	004	6.98	6.62	2000	7100	2	668.75	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404203	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	HAYIR	7780	EVET	4378	HAYIR	5178			10	0	P	0	27875.69	40	5581.1	C	20	27905.51						200697.52	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.]	2	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	04/02/2025	5610574424	17.02.2025	25341300AN00022205	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220500	HAYIR	770.66	2000	0	11	14	10	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02241	8140496162	0	2533.54	TRY	18DE000011960/YFKS	-	PESIN	1	668.75	B	C	20	01	3	25DE770382837411L8	L 38383816	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	18.06	TRY	0	6SI 6491	4	958	30	9	5178	C62	1	5	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	56073.59	EUR	212338.35	1514.71	TRY	0	TRY	2500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	29.82	0	0	0	29.82	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
