Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	AliciSatici	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Banka_kodu	Basitlestirilmis_usul	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	BeyannameKalemNo	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	DigerOdemeler	Dogrulama	DolayliIntikal	DolayliOdeme	Edim	Emsal	Esyanin_bulundugu_yer	FaturaTarihiSayisi	GUMRUK	Gidecegi_sevk_ulkesi	GirisSonrasiNakliye	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	IthalaKatilanMalzeme	IthalaUretimAraclar	IthalaUretimTuketimMalzemesi	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	KapAmbalajBedeli	Kimlik_turu	Kisitlamalar	KiymetKalemNo	Kod	Komisyon	Konteyner	Kullanici_kodu	Kullanilmis_esya	Marka	Miktar_birimi	Muafiyetler_1	Muafiyetler_2	Munasebet	Musavir_referansi	Musavir_vergi_no	Nakliye	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	PlanTaslak	Referans	Referans_no	Royalti	RoyaltiLisans	SaticiyaIntikal	SehirYer	Sigorta	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Taahutname	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	TeknikYardim	Telafi_edici_vergi	Tellaliye	TeslimSekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Ulke_kodu	Uluslararasi_anlasma	VergiHarcFon	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Diger_Aciklama	YurtDisi_Diger_Dovizi	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	700711100029	OTOMOBİL CAMI	068	521.55	521.55	190	4000	34	1808.85	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115039/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	75891.63	40	15449.67	P	20	77248.34	89	1128.9	P	0	0	58455.88	[Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir] 2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	2098.13	190	0	0	0	0	11	11	1	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	1808.85	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	7394.46	GÖZETİM	TRY	0	0	0	227.81	0	0	0	227.81	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	700711100029	OTOMOBİL CAMI	068	521.55	521.55	190	4000	34	1808.85	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115037/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	75891.63	40	15223.89	P	20	76119.44						58455.88	[Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir] 2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	2098.13	190	0	0	0	0	11	11	2	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	1808.85	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	7394.46	GÖZETİM	TRY	0	0	0	227.81	0	0	0	227.81	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	700711100029	OTOMOBİL CAMI	068	381.71	381.71	190	4000	34	1509.76	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115047/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	57531.3	40	11544.29	P	20	57721.44						58455.88	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	1590.53	190	0	0	0	0	11	11	3	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	1509.76	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	360.01	GÖZETİM	TRY	0	0	0	190.14	0	0	0	190.14	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	700711100029	OTOMOBİL CAMI	068	1750.5	1750.5	450	4000	34	10805.51	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115036/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	411757.52	40	82623.67	P	20	413118.37						58455.88	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	11383.61	450	0	0	0	0	11	11	4	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	10805.51	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	2576.63	GÖZETİM	TRY	0	0	0	1360.85	0	0	0	1360.85	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	700711100029	OTOMOBİL CAMI	068	3533.4	3533.4	900	4000	34	26065.5	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115045/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	993258.59	40	199308.26	P	20	996541.3						58455.88	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	27460.01	900	0	0	0	0	11	11	5	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	26065.5	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	6215.45	GÖZETİM	TRY	0	0	0	3282.71	0	0	0	3282.71	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	700711100029	OTOMOBİL CAMI	068	2607.75	2607.75	950	4000	34	10092.85	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115038/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	384600.72	40	77174.36	P	20	385871.82						58455.88	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	10632.82	950	0	0	0	0	11	11	6	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	10092.85	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	2406.69	GÖZETİM	TRY	0	0	0	1271.1	0	0	0	1271.1	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	700711100029	OTOMOBİL CAMI	068	2607.75	2607.75	950	4000	34	10092.85	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115034/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	384600.72	40	77174.36	P	20	385871.82						58455.88	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	10632.82	950	0	0	0	0	11	11	7	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	10092.85	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	2406.69	GÖZETİM	TRY	0	0	0	1271.1	0	0	0	1271.1	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	700711100029	OTOMOBİL CAMI	068	1954.15	1954.15	950	4000	34	7017.4	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115048/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	284408.34	40	57058.42	P	20	285292.12						58455.88	[Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir] 2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	7862.86	950	0	0	0	0	11	11	8	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	7017.4	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	18674.84	GÖZETİM	TRY	0	0	0	883.78	0	0	0	883.78	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	700711100029	OTOMOBİL CAMI	068	1563.32	1563.32	760	4000	34	5613.92	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115042/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	227526.83	40	45646.77	P	20	228233.85						58455.88	[Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir] 2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	6290.29	760	0	0	0	0	11	11	9	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	5613.92	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	14940.03	GÖZETİM	TRY	0	0	0	707.02	0	0	0	707.02	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	700711100029	OTOMOBİL CAMI	068	781.66	781.66	380	4000	34	3057.94	EUR	14/02/2025	V	0100	8100005826	17/02/2025	V	1005	25243082611005067115041/1	15/02/2025	V	0301	0000313473	15/02/2025	V	0300	0000260971	14/02/2023	V	1093	23243082611093036201148/7	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	116526.64	40	23382.35	P	20	116911.76						58455.88	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]***Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89895463/12.10.2023 [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	34	34	SISECAM AUTOMOTIVE BULGARIA EAD BO	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	11	17.02.2025	25590100IM00001352	DISTRICT VABEL INDUSTRIAL AREA 7700TARGOVISHTE BULGARIA	HAYIR	068	CT1494EH	4	068	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/8100005826	590100	068	0	221300	HAYIR	3221.54	380	0	0	0	0	11	11	10	0	YFKS	HAYIR	11	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02294	8140496162	0	0	TRY	18BG000002030/YFKS	.	PESIN	1	3057.94	B	P	20	01	3	25BG004011026018K4	0	23243082611093036201148/7	25003042/3001/5500007167/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	0	0	TRY	0	CT1494EH	4	068	30	1	5178	EVET	C62	1	1	0	0	0	DAP	DAP	TEKİRDAĞ	068	Gonderici	79402.4	EUR	0	0	63463.03	TRY	10000	068	AT	0	4	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	729.18	GÖZETİM	TRY	0	0	0	385.12	0	0	0	385.12	Yİ+YLLK	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
