Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	Dokuman_7_Belge_tarihi	Dokuman_7_Dogrulama	Dokuman_7_Kod	Dokuman_7_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklamalar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	AliciSatici	Alici_satici_iliskisi	Alici_vergi_no	Antrepo_kodu	Banka_kodu	Belge_tarihi	Beyan_sahibi_vergi_no	BeyannameKalemNo	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	DigerOdemeler	Dogrulama	DolayliIntikal	DolayliOdeme	Edim	Esyanin_bulundugu_yer	FaturaTarihiSayisi	GUMRUK	Gidecegi_sevk_ulkesi	GirisSonrasiNakliye	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	IthalaKatilanMalzeme	IthalaUretimAraclar	IthalaUretimTuketimMalzemesi	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	KapAmbalajBedeli	Kapatilan_beyanname_no	Kapatilan_kalem_no	Kapatilan_miktar	Kdv_orani	Kimlik_turu	Kisitlamalar	KiymetKalemNo	Kod	Komisyon	Konteyner	Kullanici_kodu	Kullanilmis_esya	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakliye	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	PlanTaslak	Referans	Referans_no	Royalti	RoyaltiLisans	SaticiyaIntikal	SehirYer	Sigorta	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	TBFID	Taahutname	Tamamlayici_olcu_birimi	TeknikYardim	Telafi_edici_vergi	Tellaliye	TeslimSekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	VergiHarcFon	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Diger_Aciklama	YurtDisi_Diger_Dovizi	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	854442900019	KABLOLU KONNEKTÖR	004	17.29	16.4	10000	4071	2	1656.81	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	4293	HAYIR	5178	10	0	P	0	63203.56	40	12882.15	P	20	64410.76	89	1128.9	P	0	0	183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	1745.12	10000	0	0	0	0	11	14	1	0	25341300AN00022205	1	10000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	201.97	TRY	18DE000011960/YFKS	-	PESIN	2	1656.81	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	44.87	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	56.09	YURT DIŞI	TRY	0	0	0	78.3	4.43	0	0	73.87	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	854442900019	KABLO (AKÜ KABLOSU DEĞİLDİR)	004	54.16	51.38	10000	4071	2	5191.34	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	4293	HAYIR	5178	10	0	P	0	198037.7	40	39656.61	P	20	198283.04						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	5468.03	10000	0	0	0	0	11	14	2	0	25341300AN00022205	2	10000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	632.67	TRY	18DE000011960/YFKS	-	PESIN	2	5191.34	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	140.59	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	175.74	YURT DIŞI	TRY	0	0	0	245.34	13.89	0	0	231.45	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	853690100000	KONNEKTÖR	004	20.93	19.86	6000	4071	2	2006.25	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	5178			10	0	P	0	76533.82	40	15325.73	P	20	76628.64						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	2113.18	6000	0	0	0	0	11	14	3	0	25341300AN00022205	3	6000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	244.49	TRY	18DE000011960/YFKS	-	PESIN	2	2006.25	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	54.33	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	67.92	YURT DIŞI	TRY	0	0	0	94.82	5.37	0	0	89.45	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	853690100000	KONNEKTÖR	004	20.93	19.86	6000	4071	2	2006.25	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	5178			10	0	P	0	76533.82	40	15325.73	P	20	76628.64						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	2113.18	6000	0	0	0	0	11	14	4	0	25341300AN00022205	4	6000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	244.49	TRY	18DE000011960/YFKS	-	PESIN	2	2006.25	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	54.33	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	67.92	YURT DIŞI	TRY	0	0	0	94.82	5.37	0	0	89.45	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	853690100000	KONEKTÖR	004	130.72	124.01	40000	4071	2	12531.5	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	5178			10	0	P	0	478047.76	40	95728	P	20	478639.99						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	13199.4	40000	0	0	0	0	11	14	5	0	25341300AN00022205	5	40000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	1527.01	TRY	18DE000011960/YFKS	-	PESIN	2	12531.5	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	339.38	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	424.23	YURT DIŞI	TRY	0	0	0	592.23	33.52	0	0	558.71	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	854442900019	KABLO (AKÜ KABLOSU DEĞİLDİR)	004	102.87	97.6	10000	4071	2	9860.53	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	4293	HAYIR	5178	10	0	P	0	376156.58	40	75324.52	P	20	376622.58						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	10386.07	10000	0	0	0	0	11	14	6	0	25341300AN00022205	6	10000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	1201.68	TRY	18DE000011960/YFKS	-	PESIN	2	9860.53	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	267.05	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	333.81	YURT DIŞI	TRY	0	0	0	466	26.38	0	0	439.62	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	854442900019	KABLOLU KONNEKTÖR	004	25.93	24.6	15000	4071	2	2485.22	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	4293	HAYIR	5178	10	0	P	0	94805.47	40	18984.58	P	20	94922.92						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	2617.68	15000	0	0	0	0	11	14	7	0	25341300AN00022205	7	15000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	302.9	TRY	18DE000011960/YFKS	-	PESIN	2	2485.22	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	67.31	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	84.13	YURT DIŞI	TRY	0	0	0	117.45	6.65	0	0	110.8	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	854442900019	KABLOLU KONNEKTÖR	004	25.93	24.6	15000	4071	2	2485.22	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404202	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	4293	HAYIR	5178	10	0	P	0	94805.47	40	18984.58	P	20	94922.92						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	2617.68	15000	0	0	0	0	11	14	8	0	25341300AN00022205	8	15000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	302.9	TRY	18DE000011960/YFKS	-	PESIN	2	2485.22	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	67.31	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	84.13	YURT DIŞI	TRY	0	0	0	117.45	6.65	0	0	110.8	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	854442900019	KABLO ( AKÜ TAKVİYE KABLOSU DEĞİLDİR )	004	46.83	44.43	10000	4071	2	4488.45	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404203	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	4293	HAYIR	5178	10	0	P	0	171224.11	40	34287.25	P	20	171436.23						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	4727.68	10000	0	0	0	0	11	14	9	0	25341300AN00022205	9	10000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	547.04	TRY	18DE000011960/YFKS	-	PESIN	2	4488.45	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	121.56	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	151.95	YURT DIŞI	TRY	0	0	0	212.12	12.01	0	0	200.11	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	853690100000	KONNEKTÖR	004	6.98	6.62	2000	4071	2	668.75	EUR	04/02/2025	V	0301	L 408144	04/02/2025	V	0100	404203	17/02/2025	V	0101	EVL2025000010710	04/02/2025	V	0102	117696222-3-000170	04/02/2025	V	0300	L 38383816	17/02/2025	V	0200	25341300AN00022205	17/02/2025	V	0887	25000000640887000022795/1	HAYIR	7780	HAYIR	5178			10	0	P	0	25511.32	40	5108.59	P	20	25542.93						183712.78	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476   *Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023    [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidereeklendi.]	2	LEITEC ELECTRONICS GMBH CO.KG	0	0	0	YOK	6	8140496162	A34000058	006401924034	17/02/2025	5610574424	14	18.02.2025	25341300IM00032437	NIKOLAUS-DURKPP-STRABE 8 59227 AHLEN-GERMANY	HAYIR	004	6SI 6491	4	958	BI	0	V	0	0	HAYIR	A34000058 EVOLOG ANTREPO	04.02.2025/404202,04.02.2025/404203,04.02.2025/404204,04.02.2025/404205	341300	004	0	220500	HAYIR	704.39	2000	0	0	0	0	11	14	10	0	25341300AN00022205	10	2000	KDV18	YFKS	HAYIR	14	40	0	HAYIR	46450213454	K1	ADDR	C62	NKIST	EVRT25-02309	8140496162	586.18	81.54	TRY	18DE000011960/YFKS	-	PESIN	2	668.75	B	P	20	01	0	25000000640887000022795/1	2500220401-402-403-404/3001/5500008885-9538/SAKCAN	HAYIR	0	HAYIR	İSTANBUL	130.26	18.11	TRY	0	6SI 6491	4	958	30	9	5178	25000000640887000022795	EVET	C62	0	0	0	EXW	EXW	ALMANYA	004	Gonderici	56073.59	EUR	6833.68	1518.6	TRY	1898.25	TRY	2650	TRY	004	AT	0	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	22.64	YURT DIŞI	TRY	0	0	0	31.61	1.79	0	0	29.82	y.içi	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
