Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	AliciSatici	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Banka_kodu	Basitlestirilmis_usul	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	BeyannameKalemNo	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	DigerOdemeler	Dogrulama	DolayliIntikal	DolayliOdeme	Edim	Emsal	Esyanin_bulundugu_yer	FaturaTarihiSayisi	GUMRUK	Gidecegi_sevk_ulkesi	GirisSonrasiNakliye	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	IthalaKatilanMalzeme	IthalaUretimAraclar	IthalaUretimTuketimMalzemesi	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	KapAmbalajBedeli	Kimlik_turu	Kisitlamalar	KiymetKalemNo	Kod	Komisyon	Konteyner	Kullanici_kodu	Kullanilmis_esya	Marka	Miktar_birimi	Muafiyetler_1	Muafiyetler_2	Munasebet	Musavir_referansi	Musavir_vergi_no	Nakliye	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	PlanTaslak	Referans	Referans_no	Royalti	RoyaltiLisans	SaticiyaIntikal	SehirYer	Sigorta	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Taahutname	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	TeknikYardim	Telafi_edici_vergi	Tellaliye	TeslimSekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Ulke_kodu	Uluslararasi_anlasma	VergiHarcFon	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Diger_Aciklama	YurtDisi_Diger_Dovizi	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	700721200039	OTOMOBİL CAMI	066	4423.42	4423.42	1680	4000	33	25348.33	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2					HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178			10	0	P	0	976224.07	40	196965.68	P	20	984828.38	89	1359.6	P	0	0	63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	26954.56	1680	0	0	0	0	11	10	1	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	25348.33	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	1375.22	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	12502.04	GÖZETİM	TRY	0	0	0	7244.71	0	0	0	7244.71	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	700711100029	OTOMOBİL CAMI	066	74.48	74.48	350	4000	33	492.44	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	18/02/2025	V	1005	25243082611005067141092/1	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	18965.04	40	3821.16	P	20	19105.78						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	523.64	350	0	0	0	0	11	10	2	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	492.44	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	26.72	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	242.88	GÖZETİM	TRY	0	0	0	140.74	0	0	0	140.74	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	700711100029	OTOMOBİL CAMI	066	364.81	364.81	1200	4000	33	1830.18	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	18/02/2025	V	1005	25243082611005067141097/1	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	70484.55	40	14201.53	P	20	71007.63						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	1946.15	1200	0	0	0	0	11	10	3	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	1830.18	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	99.29	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	902.66	GÖZETİM	TRY	0	0	0	523.08	0	0	0	523.08	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	700711100029	OTOMOBİL CAMI	066	404.99	404.99	1600	4000	33	2418.68	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	18/02/2025	V	1005	25243082611005067141100/1	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	93149.08	40	18768.07	P	20	93840.35						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	2571.94	1600	0	0	0	0	11	10	4	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	2418.68	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	131.22	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	1192.92	GÖZETİM	TRY	0	0	0	691.27	0	0	0	691.27	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	700711100029	OTOMOBİL CAMI	066	145.92	145.92	800	4000	33	1149.2	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	18/02/2025	V	1005	25243082611005067141096/1	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	44258.41	40	8917.37	P	20	44586.86						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	1222.02	800	0	0	0	0	11	10	5	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	1149.2	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	62.35	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	566.8	GÖZETİM	TRY	0	0	0	328.45	0	0	0	328.45	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	700711100029	OTOMOBİL CAMI	066	145.92	145.92	800	4000	33	1149.2	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	18/02/2025	V	1005	25243082611005067141098/1	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	44258.41	40	8917.37	P	20	44586.86						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	1222.02	800	0	0	0	0	11	10	6	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	1149.2	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	62.35	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	566.8	GÖZETİM	TRY	0	0	0	328.45	0	0	0	328.45	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	700711100029	OTOMOBİL CAMI	066	145.92	145.92	800	4000	33	1690.54	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	18/02/2025	V	1005	25243082611005067141099/1	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	65106.69	40	13117.97	P	20	65589.86						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	1797.66	800	0	0	0	0	11	10	7	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	1690.54	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	91.72	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	833.79	GÖZETİM	TRY	0	0	0	483.17	0	0	0	483.17	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	700711100029	OTOMOBİL CAMI	066	72.96	72.96	400	4000	33	845.27	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053548	18/02/2025	V	1005	25243082611005067141138/1	14/02/2025	V	0300	193	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	32553.35	40	6558.99	P	20	32794.93						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.'	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	898.83	400	0	0	0	0	11	10	8	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	845.27	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	45.86	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	416.9	GÖZETİM	TRY	0	0	0	241.58	0	0	0	241.58	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	700711100029	OTOMOBİL CAMI	066	859.2	859.2	1600	4000	33	2375.84	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053549	18/02/2025	V	1005	25243082611005067141135/1	14/02/2025	V	0300	194	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	125644.09	40	25264.62	P	20	126323.12						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	3469.16	1600	0	0	0	0	11	10	9	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	2375.84	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	128.9	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	35316.66	GÖZETİM	TRY	0	0	0	679.03	0	0	0	679.03	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	700711100029	OTOMOBİL CAMI	066	429.6	429.6	800	4000	33	1187.92	EUR	14/02/2025	V	0301	L002170	14/02/2025	V	0100	0000053549	18/02/2025	V	1005	25243082611005067141095/1	14/02/2025	V	0300	194	17/02/2025	V	0102	117695822-3-000064	14/02/2023	V	1093	23243082611093036201148/2	HAYIR	7780	EVET	4378	HAYIR	4293	EVET	5116	HAYIR	5178	10	0	P	0	62822.01	40	12632.31	P	20	63161.53						63161.53	2015/7511 sayılı BKK kapsamında KKDF’den muaftır.   [Gözetimden kaynaklanan Ek Kıymet Ydışı Gidere eklenmiştir]	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476 [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89895463 12.10.2023 * [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	12	33	ŞİŞECAM  AUTOMOTIVE ROMANIA SA	0	0	0	VAR	0	8140496162	HAYIR	006401924034	3	HAYIR	14/02/2023	5610574424	10	18.02.2025	25590100IM00001382	1 BİS ALEEA INDUSTRİİLOR STR120068 BUZAU ROMANIA	HAYIR	066	34 FYU 739	4	052	BI	0	V	0	0	HAYIR	HAYIR	TAŞIT ÜSTÜ - SUPALAN SAHASI	14.02.2025/0000053548,14.02.2025/0000053549	590100	068	0	221300	HAYIR	1734.58	800	0	0	0	0	11	10	10	0	YFKS	HAYIR	10	40	0	HAYIR	46450213454	K1	ADDR	C62	KKDFM	NKIST	HAYIR	EVRT25-02352	8140496162	0	0	TRY	21RO000630121/YFKS	-	PESIN	1	1187.92	B	P	20	01	3	25BG004006297797M0	0	23243082611093036201148/2	25003015-25003016/5500007295-5500007163/SAKCAN	HAYIR	0	HAYIR	TEKİRDAĞ	64.44	64.44	TRY	0	34 FYU 739	4	052	30	1	5178	EVET	C62	1	2	0	0	0	CPT	CPT	TEKİRDAĞ	066	Gonderici	38487.6	EUR	0	2088.07	TRY	70199.76	TRY	11000	066	AT	0	3	TEKİRDAĞ GÜMRÜK MÜDÜRLÜĞÜ	0	17658.31	GÖZETİM	TRY	0	0	0	339.52	0	0	0	339.52	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
