Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	Dokuman_7_Belge_tarihi	Dokuman_7_Dogrulama	Dokuman_7_Kod	Dokuman_7_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	SoruCevap_6_Cevap	SoruCevap_6_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kdv_orani	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Diger_Aciklama	YurtDisi_Diger_Dovizi	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	391690100019	PLASTİK PROFİL	004	79.13	79.13	660	7100	5	2052.6	EUR	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	80628.77	40	16343.44	C	20	81717.18	89	898.2	P	0	0	10552.14	*2025/5 TEBLİĞ KAPSAMINDA DEĞİLDİR.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	2223.53	660	0	11	15	1	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	2467.89	TRY	20DE000502333/YFKS	-	PESIN	1	2052.6	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	52.92	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	240.53	YURT DIŞI	TRY	0	0	0	190.21	0	0	0	190.21	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	392690979018	KAMERA BRAKETİ	004	22.26	22.26	350	7100	5	577.5	EUR	19/02/2025	V	1102	18170099282013015773484	19/02/2025	V	1010	18120099282013015773484	19/02/2025	V	0873	18110099232013015773484	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	22684.84	40	4547.67	C	20	22738.36						10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	625.59	350	0	11	15	2	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	694.24	TRY	20DE000502333/YFKS	-	PESIN	1	577.5	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	14.89	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	67.67	YURT DIŞI	TRY	0	0	0	53.52	0	0	0	53.52	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	392690979018	KAMERA BRAKETİ	004	25.44	25.44	400	7100	5	660	EUR	19/02/2025	V	1102	18170099282013015773484	19/02/2025	V	0873	18110099232013015773484	19/02/2025	V	1010	18120099282013015773484	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	25925.54	40	5197.34	C	20	25986.7						10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	714.96	400	0	11	15	3	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	793.42	TRY	20DE000502333/YFKS	-	PESIN	1	660	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	17.02	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	77.34	YURT DIŞI	TRY	0	0	0	61.16	0	0	0	61.16	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	392690979018	YAĞMUR SENSÖRÜ BRAKETİ	004	27.99	27.99	2200	7100	5	726	EUR	19/02/2025	V	1102	18170099282013015773484	19/02/2025	V	0873	18110099232013015773484	19/02/2025	V	1010	18120099282013015773484	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	28518.29	40	5717.11	C	20	28585.57						10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	786.46	2200	0	11	15	4	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	872.95	TRY	20DE000502333/YFKS	-	PESIN	1	726	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	18.72	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	85.08	YURT DIŞI	TRY	0	0	0	67.28	0	0	0	67.28	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	392690979018	PLASTİK BRAKET	004	74.02	74.02	600	7100	5	1920	EUR	19/02/2025	V	1102	18170099282013015773484	19/02/2025	V	0873	18110099232013015773484	19/02/2025	V	1010	18120099282013015773484	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	75420.13	40	15119.61	C	20	75598.05						10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	2079.89	600	0	11	15	5	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	2308.52	TRY	20DE000502333/YFKS	-	PESIN	1	1920	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	49.5	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	224.99	YURT DIŞI	TRY	0	0	0	177.92	0	0	0	177.92	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	392690979018	KAMERA BRAKETİ	004	38.16	38.16	600	7100	5	990	EUR	19/02/2025	V	1102	18170099282013015773484	19/02/2025	V	0873	18110099232013015773484	19/02/2025	V	1010	18120099282013015773484	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	38888.3	40	7796.01	C	20	38980.04						10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	1072.44	600	0	11	15	6	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	1190.13	TRY	20DE000502333/YFKS	-	PESIN	1	990	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	25.52	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	116.01	YURT DIŞI	TRY	0	0	0	91.74	0	0	0	91.74	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	392690979018	PLASTİK KAMERA BRAKETİ	004	14.65	14.65	200	7100	5	380	EUR	19/02/2025	V	1102	18170099282013015773484	19/02/2025	V	0873	18110099232013015773484	19/02/2025	V	1010	18120099282013015773484	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	14926.91	40	2992.42	C	20	14962.12						10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	411.65	200	0	11	15	7	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	456.9	TRY	20DE000502333/YFKS	-	PESIN	1	380	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	9.8	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	44.53	YURT DIŞI	TRY	0	0	0	35.21	0	0	0	35.21	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	854442900019	KABLO (AKÜ TAKVİYE KABLOSU DEĞİLDİR)	720	12.1	12.1	200	7100	5	314	EUR	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267													HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178					10	0	P	0	12334.17	40	2842.68	C	20	14213.4	59	1850.13	C	15	12334.17	10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	340.14	200	0	11	15	8	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	377.37	TRY	20DE000502333/YFKS	-	PESIN	1	314	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	8.1	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	36.8	YURT DIŞI	TRY	0	0	0	29.1	0	0	0	29.1	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	902580809000	YOĞUŞMA SENSÖRÜ ( ALKOLMETRE VE ALKOLHİDROMETRELERİ DEĞİLDİR )	004	45.18	45.18	100	7100	5	1172	EUR	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267													HAYIR	7780	EVET	4378	HAYIR	4167	HAYIR	5178					10	0	P	0	46037.6	40	9229.24	C	20	46146.21						10552.14	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	1269.6	100	0	11	15	9	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	1409.06	TRY	20DE000502333/YFKS	-	PESIN	1	1172	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	30.21	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	137.34	YURT DIŞI	TRY	0	0	0	108.61	0	0	0	108.61	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	391690100019	PLASTİK PROFİL	004	77.49	77.49	1000	7100	5	2010	EUR	27/01/2025	V	0100	989498	10/02/2025	V	0301	L143550	17/02/2025	V	0102	117696222-3-000167	18/02/2025	V	0101	EVL2025000011267													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	78955.46	40	15828.35	C	20	79141.73						10552.14	*2025/5 TEBLİĞ KAPSAMINDA DEĞİLDİR.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024]*Gümrük yönetmeliğinin 564/3. maddesine istinaden   Kayıt No: 89941737 13.10.2023 **ARDİYE FATURASI KDV LİDİR*	5	5	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	18/02/2025	5610574424	19.02.2025	25341300AN00023859	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FZE 637 / 34 GOC 341	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	004	220200	HAYIR	2177.39	1000	0	11	15	10	KDV18	YFKS	40	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02416	8140496162	0	2416.74	TRY	20DE000502333/YFKS	-	PESIN	1	2010	B	C	20	01	3	25DE290682844815M7	EVL2025000011267	2500248901/3001/5500009451/SAKCAN	51.82	TRY	0	34 FZE 637 / 34 GOC 341	4	052	30	9	5178	C62	1	27	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	16186.6	EUR	19461.17	417.3	TRY	1896.8	TRY	1500	TRY	004	AT	5	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	235.54	YURT DIŞI	TRY	0	0	0	186.27	0	0	0	186.27	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
