Kalem_No	Gtip	Ticari_tanimi	Mensei_ulke	Brut_agirlik	Net_agirlik	Miktar	Rejim	Kap_adedi	Fatura_miktari	Fatura_miktarinin_dovizi	Dokuman_1_Belge_tarihi	Dokuman_1_Dogrulama	Dokuman_1_Kod	Dokuman_1_Referans	Dokuman_2_Belge_tarihi	Dokuman_2_Dogrulama	Dokuman_2_Kod	Dokuman_2_Referans	Dokuman_3_Belge_tarihi	Dokuman_3_Dogrulama	Dokuman_3_Kod	Dokuman_3_Referans	Dokuman_4_Belge_tarihi	Dokuman_4_Dogrulama	Dokuman_4_Kod	Dokuman_4_Referans	Dokuman_5_Belge_tarihi	Dokuman_5_Dogrulama	Dokuman_5_Kod	Dokuman_5_Referans	Dokuman_6_Belge_tarihi	Dokuman_6_Dogrulama	Dokuman_6_Kod	Dokuman_6_Referans	Dokuman_7_Belge_tarihi	Dokuman_7_Dogrulama	Dokuman_7_Kod	Dokuman_7_Referans	SoruCevap_1_Cevap	SoruCevap_1_Soru_no	SoruCevap_2_Cevap	SoruCevap_2_Soru_no	SoruCevap_3_Cevap	SoruCevap_3_Soru_no	SoruCevap_4_Cevap	SoruCevap_4_Soru_no	SoruCevap_5_Cevap	SoruCevap_5_Soru_no	SoruCevap_6_Cevap	SoruCevap_6_Soru_no	Vergi_1_Kod	Vergi_1_Miktar	Vergi_1_Odeme_sekli	Vergi_1_Oran	Vergi_1_Vergi_matrahi	Vergi_2_Kod	Vergi_2_Miktar	Vergi_2_Odeme_sekli	Vergi_2_Oran	Vergi_2_Vergi_matrahi	Vergi_3_Kod	Vergi_3_Miktar	Vergi_3_Odeme_sekli	Vergi_3_Oran	Vergi_3_Vergi_matrahi	Vergi_matrahi	Aciklama_44	Aciklamalar	Acilacak_miktar	Adedi	Adi_unvani	Algilama_miktari_1	Algilama_miktari_2	Algilama_miktari_3	Alici_satici_iliskisi	Alici_vergi_no	Ambar_ici	Ambar_kodu	Antrepo_kodu	Banka_kodu	Banka_mektubu_tutari	Baska_rejim	Belge_tarihi	Beyan_sahibi_vergi_no	Beyanname_Tarihi	Beyanname_no	Cadde_s_no	Cevap	Cikis_ulkesi	Cikistaki_aracin_kimligi	Cikistaki_aracin_tipi	Cikistaki_aracin_ulkesi	Cinsi	Diger_tutar	Dogrulama	Esyanin_bulundugu_yer	GUMRUK	Gidecegi_sevk_ulkesi	Giris_gumruk_idaresi	Imalatci_firma_bilgisi	Istatistiki_kiymet	Istatistiki_miktar	KDV_Iceren_Yurtici_Giderler_Toplami	Kalem_Islem_Niteligi	Kalem_no	Kalem_sira_no	Kdv_orani	Kimlik_turu	Kod	Konteyner	Kullanici_kodu	Marka	Miktar_birimi	Muafiyetler_1	Musavir_referansi	Musavir_vergi_no	Nakdi_teminat_tutari	Navlun_miktari	Navlun_miktarinin_dovizi	No	Numara	Odeme	OdemeSekliKodu	OdemeTutari	Odeme_araci	Odeme_sekli	Oran	Ozellik	Ozetbeyan_islem_kapsami	Ozetbeyan_no	Referans	Referans_no	Sigorta_miktari	Sigorta_miktarinin_dovizi	Sinir_gecis_ucreti	Sinirdaki_aracin_kimligi	Sinirdaki_aracin_tipi	Sinirdaki_aracin_ulkesi	Sinirdaki_tasima_sekli	SiparisTuru	Soru_no	Tamamlayici_olcu_birimi	Tasima_satir_no	Tasima_senedi_no	Telafi_edici_vergi	Teminat_orani	Teminat_sekli	Teslim_sekli	Teslim_yeri	Ticaret_ulkesi	Tip	Toplam_fatura	Toplam_fatura_dovizi	Toplam_navlun	Toplam_sigorta	Toplam_sigorta_dovizi	Toplam_yurt_disi_harcamalar	Toplam_yurt_disi_harcamalarin_dovizi	Toplam_yurt_ici_harcamalar	Toplan_navlun_dovizi	Ulke_kodu	Uluslararasi_anlasma	Yuk_belgeleri_sayisi	Yukleme_bosaltma_yeri	YurtDisi_Demuraj	YurtDisi_Diger	YurtDisi_Faiz	YurtDisi_Komisyon	YurtDisi_Royalti	Yurt_ici_harcamalar	Yurtici_Banka	Yurtici_Cevre	Yurtici_Depolama	Yurtici_Diger	Yurtici_Diger_Aciklama	Yurtici_Kkdf	Yurtici_Kultur	Yurtici_Liman	Yurtici_Tahliye	mail1	mail2	mobil1
1	391690100019	PLASTİK PROFİL	004	61.88	37.36	500	7100	11	2280	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	95804.06	40	19368.48	C	20	96842.42	89	898.2	P	0	0	251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	2629.76	500	0	11	19	1	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	8703.42	TRY	20DE000502333/YFKS	-	PESIN	1	2280	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	66.88	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	140.16	0	0	0	140.16	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
2	391690100019	PLASTİK PROFİL	004	173.02	104.47	1500	7100	11	6375	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	267873.21	40	53653.02	C	20	268265.1						251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	7352.95	1500	0	11	19	2	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	24335.26	TRY	20DE000502333/YFKS	-	PESIN	1	6375	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	186.99	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	391.89	0	0	0	391.89	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
3	391690100019	PLASTİK PROFİL	004	123.76	74.73	1000	7100	11	4560	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	191608.11	40	38377.69	C	20	191888.43						251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	5259.52	1000	0	11	19	3	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	17406.84	TRY	20DE000502333/YFKS	-	PESIN	1	4560	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	133.76	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	280.32	0	0	0	280.32	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
4	391690100019	PLASTİK PROFİL	004	173.02	104.47	1500	7100	11	6375	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	267873.21	40	53653.02	C	20	268265.1						251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	7352.95	1500	0	11	19	4	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	24335.26	TRY	20DE000502333/YFKS	-	PESIN	1	6375	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	186.99	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	391.89	0	0	0	391.89	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
5	391690100019	PLASTİK PROFİL	004	226.36	136.65	2000	7100	11	8340	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	350442.48	40	70191.03	C	20	350955.16						251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	9619.43	2000	0	11	19	5	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	31837.53	TRY	20DE000502333/YFKS	-	PESIN	1	8340	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	244.63	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	512.68	0	0	0	512.68	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
6	392690979018	PLASTIK BRAKET	004	196.63	118.73	2300	7100	11	7245	EUR	28/02/2025	V	1102	18170099282013015773484/1	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529	28/02/2025	V	0873	18110099232013015773484/1	28/02/2025	V	1010	18120099282013015773484/1	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	304429.72	40	60975.02	C	20	304875.09						251.73	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	8356.41	2300	0	11	19	6	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	27656	TRY	20DE000502333/YFKS	-	PESIN	1	7245	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	212.51	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	445.37	0	0	0	445.37	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
7	854442900019	KABLO(AKÜ TAKVİYE KABLOSU DEĞİLDİR.)	720	112.9	68.17	4000	7100	11	4160	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206																	HAYIR	7780	EVET	4378	HAYIR	4293	HAYIR	5178					10	0	P	0	174799.83	40	40255.11	C	20	201275.53	59	26219.97	C	15	174799.83	251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	4798.15	4000	0	11	19	7	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	15879.38	TRY	20DE000502333/YFKS	-	PESIN	1	4160	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	122.02	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	255.73	0	0	0	255.73	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
8	391690100019	PLASTİK PROFİL	004	72.6	43.84	500	7100	11	2675	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	112401.62	40	22513.21	C	20	112566.06						251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	3085.35	500	0	11	19	8	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	10211.19	TRY	20DE000502333/YFKS	-	PESIN	1	2675	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	78.46	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	164.44	0	0	0	164.44	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
9	392690979018	PLASTIK BRAKET	004	81.31	49.1	400	7100	11	2996	EUR	28/02/2025	V	1102	18170099282013015773484/1	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529	28/02/2025	V	0873	18110099232013015773484/1	28/02/2025	V	1010	18120099282013015773484/1	HAYIR	7780	EVET	4378	EVET	5134	HAYIR	4293	EVET	4168	HAYIR	5178	10	0	P	0	125889.54	40	25214.74	C	20	126073.71						251.73	*DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	3455.59	400	0	11	19	9	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	11436.25	TRY	20DE000502333/YFKS	-	PESIN	1	2996	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	87.88	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	184.17	0	0	0	184.17	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
10	391690100019	PLASTİK PROFİL	004	61.74	37.28	500	7100	11	2275	EUR	12/02/2025	V	0301	L 776113	10/02/2025	V	0100	990259	19/02/2025	V	0102	117696222-3-000206	17/02/2025	V	0300	L 38412529													HAYIR	7780	EVET	4378	HAYIR	5178							10	0	P	0	95593.35	40	19146.64	C	20	95733.2						251.73	bedelsiz    *DTS 2025/05 EK1/B ,2025/05 EK2 tebliği kapsamı eşya değildir. Damping 2020/20, 2021/24 tebliği kapsamı eşya değildir. Ürün güvenliği denetimi 2025/11, 2025/12, 2025/17 tebliği kapsamı eşya değildir. Gözetim 2008/07 , 2024/01 gözetim tebliği kapsamı eşya değildir.*	VEKALET= KARTAL 12. NOTERLİĞİ 23.08.2024 - 29476  [AEO:1-Yetkilendirilmiş Yükümlü TR/AEOF/24340015/19.07.2024] **Gümrük yönetmeliğnin 564/3. maddesine istinaden   Kayıt No: 89941737 /13.10.2023***** ARDİYE FATURASI KDVLİDİR*** [FOB Kıymetin %10u Navlun Bedeli Olarak Alınmıştır.] [Ek belgelerle ile ilgili DGV arttırıldı Yiçi gidere eklendi.]	11	11	PMA TOOLS AG	0	0	0	6	8140496162	HAYIR	A0085	A34000058	006401924034	0	HAYIR	28/02/2025	5610574424	28.02.2025	25341300AN00029345	Siemensring 4247877 Willich / Germany	HAYIR	004	34 FDS 705	4	052	BI	0	V	A34000058 EVOLOG ANTREPO	341300	005	343400	HAYIR	2623.98	500	0	11	19	10	KDV18	YFKS	59	HAYIR	46450213454	ADDR	C62	NKIST	EVRT25-02498	8140496162	0	8683.73	TRY	20DE000502333/YFKS	-	PESIN	1	2275	B	C	10	01	3	25ITQXL08BH45045M8	18120099282013015773484/1	2500306101-2500331602-2500331601/3001/5500007492-5500010935-5500009130/SAKCAN	66.73	TRY	0	34 FDS 705	3	052	17	9	5178	C62	1	106	0	100	GTRANT-1	EXW	ALMANYA	004	Gonderici	65069.5	EUR	248387.85	1908.64	TRY	0	TRY	4000	TRY	004	AT	3	MURATBEY GÜMRÜK MÜDÜRLÜĞÜ	0	0	0	0	0	139.85	0	0	0	139.85	Y.İÇİ	0	0	0	0	ali.kilicarslan@kizilkaya.com.tr	ali.kilicarslan@kizilkaya.com.tr	+905422312233
